OPM_Step,Source_File,Source_Title,Step_narr_in,Step_narr_m_in,Step_narr_out,Step_narr_out_simple,Step_narr_m_out,Step_narr_m_out_simple
P1,Overall_PPS_Startup_with_Det_UAp_112525_0830.xlsx,Overall PPS Startup With Det Uap 112525 0830,Opening Slide for PPS About Palco Power Systems and Scott Electric and a Welcome to Training Palco Power Systems Pictorial representation of Quote to Cash similar to Service to Cash Generator Startup Customer Calls For Start Up Genset Sold by Palco Yes Genset Sold by Palco Is Original Order Known Order Number is known Perform Order Enquiry Verify Payment Status Create Startup Incident Add Startup Notes Add Lines Schedule startup Print Pick ticket Shipping Feed back Assigned Tech Performs Start Register Unit Order Enquiry Using Serial Number Create New Unit Create Chargeable SRO Original Sale Order Not Known — remember there are atleast 3 way to do something in Infor - the question which makes sense for the business and task at hand Original Sale Order Not Known — For each method write a words on what this leans best for and a disclaimer that each user can choose their own way No Gen Set Not sold by Palco — C:\Users\scottuser\Documents\SonetLumier\Input\SE_SLS_Enter_line_Opt2_112025_1211.pptx You have successfully completed this SOP,,Opening Slide for PPS About Palco Power Systems and Scott Electric and a Welcome to Training Palco Power Systems Pictorial representation of Quote to Cash similar to Service to Cash Generator Startup Customer Calls For Start Up Genset Sold by Palco Yes Genset Sold by Palco Is Original Order Known Order Number is known Perform Order Enquiry Verify Payment Status Create Startup Incident Add Startup Notes Add Lines Schedule startup Print Pick ticket Shipping Feed back Assigned Tech Performs Start Register Unit Order Enquiry Using Serial Number Create New Unit Create Chargeable SRO Original Sale Order Not Known — remember there are atleast 3 way to do something in Infor - the question which makes sense for the business and task at hand Original Sale Order Not Known — For each method write a words on what this leans best for and a disclaimer that each user can choose their own way No Gen Set Not sold by Palco — C:\Users\scottuser\Documents\SonetLumier\Input\SE_SLS_Enter_line_Opt2_112025_1211.pptx You have successfully completed this SOP,Opening Slide for PPS About Palco Power Systems and Scott Electric and a Welcome to Training Palco Power Systems Pictorial. Set Sold by Palco Yes Gen. Set Sold by Palco Is Original Order Known Order Number is known Perform Order Enquiry Verify Payment Status Create Startup. Pick ticket Shipping Feed back Assigned Tech Performs Start Register Unit Order Enquiry Using Serial Number Create New Unit Create. Remember there are atleast 3 way to do something in Infor. The question which makes sense for the business and task at hand Original Sale Order Not Known. For each method write a words on what this leans best for and a disclaimer that each user can. Choose their own way No Gen. Set Not sold by Palco. C:\Users\scottuser\Documents\SonetLumier\Input\SE_SLS_Enter_line_Opt2_112025_1211.pptx You have successfully completed this SOP.,,
PM,,Process Overview,,Opening Slide for PPS About Palco Power Systems and Scott Electric and a Welcome to Training Palco Power Systems Pictorial representation of Quote to Cash similar to Service to Cash Generator Startup Customer Calls For Start Up Genset Sold by Palco Yes Genset Sold by Palco Is Original Order Known Order Number is known Perform Order Enquiry Verify Payment Status Create Startup Incident Add Startup Notes Add Lines Schedule startup Print Pick ticket Shipping Feed back Assigned Tech Performs Start Register Unit Order Enquiry Using Serial Number Create New Unit Create Chargeable SRO Original Sale Order Not Known — remember there are atleast 3 way to do something in Infor - the question which makes sense for the business and task at hand Original Sale Order Not Known — For each method write a words on what this leans best for and a disclaimer that each user can choose their own way No Gen Set Not sold by Palco — C:\Users\scottuser\Documents\SonetLumier\Input\SE_SLS_Enter_line_Opt2_112025_1211.pptx You have successfully completed this SOP,,,Opening Slide for PPS About Palco Power Systems and Scott Electric and a Welcome to Training Palco Power Systems Pictorial representation of Quote to Cash similar to Service to Cash Generator Startup Customer Calls For Start Up Genset Sold by Palco Yes Genset Sold by Palco Is Original Order Known Order Number is known Perform Order Enquiry Verify Payment Status Create Startup Incident Add Startup Notes Add Lines Schedule startup Print Pick ticket Shipping Feed back Assigned Tech Performs Start Register Unit Order Enquiry Using Serial Number Create New Unit Create Chargeable SRO Original Sale Order Not Known — remember there are atleast 3 way to do something in Infor - the question which makes sense for the business and task at hand Original Sale Order Not Known — For each method write a words on what this leans best for and a disclaimer that each user can choose their own way No Gen Set Not sold by Palco — C:\Users\scottuser\Documents\SonetLumier\Input\SE_SLS_Enter_line_Opt2_112025_1211.pptx You have successfully completed this SOP,Opening Slide for PPS About Palco Power Systems and Scott Electric and a Welcome to Training Palco Power Systems Pictorial. Set Sold by Palco Yes Gen. Set Sold by Palco Is Original Order Known Order Number is known Perform Order Enquiry Verify Payment Status Create Startup. Pick ticket Shipping Feed back Assigned Tech Performs Start Register Unit Order Enquiry Using Serial Number Create New Unit Create. Remember there are atleast 3 way to do something in Infor. The question which makes sense for the business and task at hand Original Sale Order Not Known. For each method write a words on what this leans best for and a disclaimer that each user can. Choose their own way No Gen. Set Not sold by Palco. C:\Users\scottuser\Documents\SonetLumier\Input\SE_SLS_Enter_line_Opt2_112025_1211.pptx You have successfully completed this SOP.
